product_id,name,category,subcategory,price_inr,supplier_name,supplier_city,supplier_state,supplier_country,verified_supplier,supplier_rating,supplier_reviews,min_order_qty,years_in_business,keywords,scraped_at,data_source
PROD-0011,Heavy Duty Hydraulic Press,Industrial Machinery,Hydraulic Press,505934.0,Kalita-Rajagopal,Coimbatore,Tamil Nadu,India,False,4.0,7,83,18,RoHS compliant|high grade,2026-03-13T15:52:11.423092,synthetic
PROD-0012,Premium CNC Machine,Industrial Machinery,CNC Machine,652065.0,Seshadri PLC,Nashik,Maharashtra,India,False,4.8,53,30,8,custom size|export quality,2026-03-13T15:52:11.423141,synthetic
PROD-0013,Export Grade Lathe Machine,Industrial Machinery,Lathe Machine,526342.0,Varma Ltd,Delhi,Delhi,India,False,3.3,23,494,7,high grade|food grade,2026-03-13T15:52:11.423187,synthetic
PROD-0014,Heavy Duty Hydraulic Press,Industrial Machinery,Hydraulic Press,813125.0,"Kar, Rastogi and Sanghvi",Rajkot,Gujarat,India,True,4.0,7,174,1,custom size|high grade,2026-03-13T15:52:11.423241,synthetic
PROD-0015,Premium Welding Equipment,Industrial Machinery,Welding Equipment,330724.0,"Devi, Sha and Sodhi",Ahmedabad,Gujarat,India,True,4.8,3,110,18,heavy duty|food grade,2026-03-13T15:52:11.423291,synthetic
PROD-0016,Export Grade Welding Equipment,Industrial Machinery,Welding Equipment,574085.0,"Rout, Nagarajan and Shetty",Nashik,Maharashtra,India,False,3.4,4,217,14,eco friendly|food grade,2026-03-13T15:52:11.423340,synthetic
PROD-0017,Standard CNC Machine,Industrial Machinery,CNC Machine,794534.0,Karan-Wali,Mumbai,Maharashtra,India,True,3.9,16,128,3,eco friendly|high grade,2026-03-13T15:52:11.423384,synthetic
PROD-0018,Premium CNC Machine,Industrial Machinery,CNC Machine,787700.0,"Kota, Sankaran and Mohanty",Delhi,Delhi,India,False,4.9,47,249,16,premium|BIS approved,2026-03-13T15:52:11.423434,synthetic
PROD-0019,Export Grade CNC Machine,Industrial Machinery,CNC Machine,64587.0,Patel Inc,Nashik,Maharashtra,India,True,4.4,179,339,23,eco friendly|heavy duty,2026-03-13T15:52:11.423480,synthetic
PROD-0020,Heavy Duty Compressor,Industrial Machinery,Compressor,705665.0,"Hora, Saha and Borra",Ahmedabad,Gujarat,India,True,4.2,20,81,2,high grade|export quality,2026-03-13T15:52:11.423530,synthetic
PROD-0021,Standard Hydraulic Press,Industrial Machinery,Hydraulic Press,1149938.0,Issac Inc,Indore,Madhya Pradesh,India,True,3.1,24,134,7,GMP certified|food grade,2026-03-13T15:52:11.423578,synthetic
PROD-0022,Heavy Duty Hydraulic Press,Industrial Machinery,Hydraulic Press,345327.0,Baria-Kumar,Pune,Maharashtra,India,True,4.9,35,52,3,high grade|premium,2026-03-13T15:52:11.423625,synthetic
PROD-0023,Premium Compressor,Industrial Machinery,Compressor,230385.0,Mahal-Mallick,Coimbatore,Tamil Nadu,India,False,3.7,59,414,21,high grade|ISO certified,2026-03-13T15:52:11.423673,synthetic
PROD-0024,Standard Welding Equipment,Industrial Machinery,Welding Equipment,220664.0,Swaminathan Inc,Nagpur,Maharashtra,India,True,4.8,36,145,20,premium|food grade,2026-03-13T15:52:11.423721,synthetic
PROD-0025,Export Grade Hydraulic Press,Industrial Machinery,Hydraulic Press,2875789.0,"Mukherjee, Ganesan and Tata",Pune,Maharashtra,India,True,4.8,13,135,6,food grade|eco friendly,2026-03-13T15:52:11.423778,synthetic
PROD-0026,Standard Lathe Machine,Industrial Machinery,Lathe Machine,549345.0,"Kunda, Lala and Aurora",Coimbatore,Tamil Nadu,India,True,4.7,24,66,2,organic|CE certified,2026-03-13T15:52:11.423828,synthetic
PROD-0027,Standard CNC Machine,Industrial Machinery,CNC Machine,999949.0,"Nair, Sachdeva and Bhatt",Nashik,Maharashtra,India,False,3.7,53,499,20,food grade|heavy duty,2026-03-13T15:52:11.423892,synthetic
PROD-0028,Premium Hydraulic Press,Industrial Machinery,Hydraulic Press,894514.0,Sehgal-Sampath,Nashik,Maharashtra,India,True,3.1,18,471,15,CE certified|organic,2026-03-13T15:52:11.423936,synthetic
PROD-0029,Export Grade Hydraulic Press,Industrial Machinery,Hydraulic Press,163379.0,"Sule, Arya and Ram",Indore,Madhya Pradesh,India,True,4.7,76,329,17,BIS approved|GMP certified,2026-03-13T15:52:11.423988,synthetic
PROD-0030,Heavy Duty Welding Equipment,Industrial Machinery,Welding Equipment,393979.0,Hans-Loyal,Indore,Madhya Pradesh,India,True,4.9,11,223,12,food grade|CE certified,2026-03-13T15:52:11.424034,synthetic
PROD-0031,Premium Welding Equipment,Industrial Machinery,Welding Equipment,983949.0,"Biswas, Wable and Dhar",Jaipur,Rajasthan,India,False,3.0,134,369,24,food grade|GMP certified,2026-03-13T15:52:11.424104,synthetic
PROD-0032,Heavy Duty Compressor,Industrial Machinery,Compressor,79071.0,Balakrishnan Group,Ahmedabad,Gujarat,India,False,4.3,20,168,13,food grade|organic,2026-03-13T15:52:11.424147,synthetic
PROD-0033,Export Grade Hydraulic Press,Industrial Machinery,Hydraulic Press,141516.0,Memon-Chauhan,Coimbatore,Tamil Nadu,India,False,4.8,28,281,1,organic|RoHS compliant,2026-03-13T15:52:11.424188,synthetic
PROD-0034,Heavy Duty Lathe Machine,Industrial Machinery,Lathe Machine,1355150.0,"Rao, Shroff and Ratta",Ahmedabad,Gujarat,India,True,3.9,6,462,24,heavy duty|GMP certified,2026-03-13T15:52:11.424234,synthetic
PROD-0035,Heavy Duty Compressor,Industrial Machinery,Compressor,529738.0,"Tripathi, Lall and Saraf",Delhi,Delhi,India,True,4.9,9,413,7,heavy duty|ISO certified,2026-03-13T15:52:11.424283,synthetic
PROD-0036,Standard Hydraulic Press,Industrial Machinery,Hydraulic Press,983617.0,Mitra-Sehgal,Mumbai,Maharashtra,India,False,3.8,15,353,1,RoHS compliant|export quality,2026-03-13T15:52:11.424325,synthetic
PROD-0037,Export Grade Lathe Machine,Industrial Machinery,Lathe Machine,69741.0,Keer LLC,Ludhiana,Punjab,India,True,3.5,75,411,15,GMP certified|high grade,2026-03-13T15:52:11.424364,synthetic
PROD-0038,Export Grade Welding Equipment,Industrial Machinery,Welding Equipment,179489.0,Pal Inc,Coimbatore,Tamil Nadu,India,True,4.4,21,281,15,heavy duty|food grade,2026-03-13T15:52:11.424404,synthetic
PROD-0039,Heavy Duty Lathe Machine,Industrial Machinery,Lathe Machine,379382.0,"Sachdev, Krishnamurthy and Sathe",Indore,Madhya Pradesh,India,False,4.0,28,40,23,organic|premium,2026-03-13T15:52:11.424451,synthetic
PROD-0040,Standard Compressor,Industrial Machinery,Compressor,291934.0,"De, Hayer and Nayar",Surat,Gujarat,India,True,3.8,8,213,14,CE certified|high grade,2026-03-13T15:52:11.424493,synthetic
PROD-0041,Premium Lathe Machine,Industrial Machinery,Lathe Machine,258707.0,Dugar Inc,Lucknow,Uttar Pradesh,India,False,4.5,5,437,14,high grade|food grade,2026-03-13T15:52:11.424536,synthetic
PROD-0042,Export Grade Welding Equipment,Industrial Machinery,Welding Equipment,489013.0,Raju-Golla,Rajkot,Gujarat,India,True,3.7,37,85,15,heavy duty|custom size,2026-03-13T15:52:11.424576,synthetic
PROD-0043,Premium CNC Machine,Industrial Machinery,CNC Machine,1964646.0,Gaba-Sandal,Coimbatore,Tamil Nadu,India,True,3.9,50,134,13,CE certified|premium,2026-03-13T15:52:11.424614,synthetic
PROD-0044,Heavy Duty Compressor,Industrial Machinery,Compressor,78389.0,More and Sons,Lucknow,Uttar Pradesh,India,False,4.7,11,10,24,high grade|ISO certified,2026-03-13T15:52:11.424651,synthetic
PROD-0045,Premium Hydraulic Press,Industrial Machinery,Hydraulic Press,1282451.0,Bava-Jhaveri,Pune,Maharashtra,India,False,4.9,8,343,4,custom size|premium,2026-03-13T15:52:11.424686,synthetic
PROD-0046,Premium Compressor,Industrial Machinery,Compressor,776469.0,"Vaidya, Sundaram and Garg",Lucknow,Uttar Pradesh,India,False,3.3,7,476,10,custom size|GMP certified,2026-03-13T15:52:11.424731,synthetic
PROD-0047,Premium Lathe Machine,Industrial Machinery,Lathe Machine,303967.0,Bora Inc,Nashik,Maharashtra,India,True,4.7,3,155,22,custom size|export quality,2026-03-13T15:52:11.424867,synthetic
PROD-0048,Export Grade Welding Equipment,Industrial Machinery,Welding Equipment,905795.0,Pathak and Sons,Ludhiana,Punjab,India,False,3.1,14,222,12,GMP certified|eco friendly,2026-03-13T15:52:11.424936,synthetic
PROD-0049,Heavy Duty Hydraulic Press,Industrial Machinery,Hydraulic Press,358530.0,Rout Inc,Rajkot,Gujarat,India,True,4.8,57,423,24,custom size|organic,2026-03-13T15:52:11.424979,synthetic
PROD-0050,Export Grade Hydraulic Press,Industrial Machinery,Hydraulic Press,999531.0,"Loke, Sarna and Naik",Pune,Maharashtra,India,True,4.3,10,167,6,eco friendly|premium,2026-03-13T15:52:11.425026,synthetic
PROD-0051,Heavy Duty Compressor,Industrial Machinery,Compressor,80134.0,Jain LLC,Pune,Maharashtra,India,True,4.0,8,209,16,high grade|premium,2026-03-13T15:52:11.425084,synthetic
PROD-0052,Premium Lathe Machine,Industrial Machinery,Lathe Machine,740903.0,Hans-Sengupta,Rajkot,Gujarat,India,True,3.4,35,298,12,eco friendly|high grade,2026-03-13T15:52:11.425126,synthetic
PROD-0053,Heavy Duty Compressor,Industrial Machinery,Compressor,334350.0,Barad Ltd,Coimbatore,Tamil Nadu,India,True,3.9,11,370,7,CE certified|export quality,2026-03-13T15:52:11.425168,synthetic
PROD-0054,Heavy Duty Welding Equipment,Industrial Machinery,Welding Equipment,98996.0,Sama-Venkatesh,Rajkot,Gujarat,India,False,5.0,21,52,7,organic|premium,2026-03-13T15:52:11.425253,synthetic
PROD-0055,Standard Hydraulic Press,Industrial Machinery,Hydraulic Press,197392.0,Rout Group,Pune,Maharashtra,India,True,4.9,28,65,21,RoHS compliant|eco friendly,2026-03-13T15:52:11.425327,synthetic
PROD-0056,Export Grade CNC Machine,Industrial Machinery,CNC Machine,605575.0,"Atwal, Oak and Golla",Delhi,Delhi,India,True,4.9,19,352,2,heavy duty|RoHS compliant,2026-03-13T15:52:11.425391,synthetic
PROD-0057,Export Grade Welding Equipment,Industrial Machinery,Welding Equipment,228744.0,Parikh-Dora,Ludhiana,Punjab,India,True,4.6,6,231,15,organic|custom size,2026-03-13T15:52:11.425432,synthetic
PROD-0058,Premium Compressor,Industrial Machinery,Compressor,552710.0,Bhardwaj and Sons,Jaipur,Rajasthan,India,False,3.4,3,81,8,heavy duty|high grade,2026-03-13T15:52:11.425475,synthetic
PROD-0059,Standard Hydraulic Press,Industrial Machinery,Hydraulic Press,599602.0,"Nayar, Reddy and Morar",Delhi,Delhi,India,True,3.6,9,406,21,custom size|GMP certified,2026-03-13T15:52:11.425520,synthetic
PROD-0060,Standard Hydraulic Press,Industrial Machinery,Hydraulic Press,399024.0,"Tella, Mane and Memon",Ludhiana,Punjab,India,False,4.7,4,292,10,eco friendly|export quality,2026-03-13T15:52:11.425565,synthetic
PROD-0061,Premium Compressor,Industrial Machinery,Compressor,500640.0,Oak LLC,Lucknow,Uttar Pradesh,India,True,4.8,67,14,3,premium|GMP certified,2026-03-13T15:52:11.425603,synthetic
PROD-0062,Heavy Duty Welding Equipment,Industrial Machinery,Welding Equipment,564935.0,"Narain, Bhardwaj and Choudhry",Indore,Madhya Pradesh,India,True,4.5,5,227,9,heavy duty|custom size,2026-03-13T15:52:11.425647,synthetic
PROD-0063,Export Grade Lathe Machine,Industrial Machinery,Lathe Machine,1684525.0,Buch-Cherian,Jaipur,Rajasthan,India,True,4.3,60,356,16,organic|GMP certified,2026-03-13T15:52:11.425684,synthetic
PROD-0064,Export Grade Welding Equipment,Industrial Machinery,Welding Equipment,340440.0,Konda PLC,Jaipur,Rajasthan,India,False,4.6,18,266,12,custom size|eco friendly,2026-03-13T15:52:11.425723,synthetic
PROD-0065,Standard Lathe Machine,Industrial Machinery,Lathe Machine,782600.0,Jayaraman Group,Nagpur,Maharashtra,India,False,3.9,31,499,21,custom size|premium,2026-03-13T15:52:11.425763,synthetic
PROD-0066,Premium Hydraulic Press,Industrial Machinery,Hydraulic Press,424849.0,"Rout, Srinivasan and Reddy",Rajkot,Gujarat,India,True,3.2,78,367,10,high grade|food grade,2026-03-13T15:52:11.425810,synthetic
PROD-0067,Export Grade Lathe Machine,Industrial Machinery,Lathe Machine,228338.0,Parmer-Chawla,Surat,Gujarat,India,True,4.2,36,36,9,RoHS compliant|BIS approved,2026-03-13T15:52:11.425858,synthetic
PROD-0068,Export Grade Welding Equipment,Industrial Machinery,Welding Equipment,3372732.0,"Banik, Ahuja and Edwin",Pune,Maharashtra,India,False,3.9,19,391,18,BIS approved|eco friendly,2026-03-13T15:52:11.425904,synthetic
PROD-0069,Export Grade Compressor,Industrial Machinery,Compressor,279681.0,Karan PLC,Nashik,Maharashtra,India,True,4.5,188,198,22,RoHS compliant|GMP certified,2026-03-13T15:52:11.425943,synthetic
PROD-0070,Premium Lathe Machine,Industrial Machinery,Lathe Machine,1300730.0,Bains-Bhatt,Bangalore,Karnataka,India,False,3.9,22,370,5,BIS approved|GMP certified,2026-03-13T15:52:11.425986,synthetic
PROD-0071,Heavy Duty CNC Machine,Industrial Machinery,CNC Machine,128377.0,Wadhwa Inc,Bangalore,Karnataka,India,False,3.8,5,346,18,BIS approved|CE certified,2026-03-13T15:52:11.426028,synthetic
PROD-0072,Premium Lathe Machine,Industrial Machinery,Lathe Machine,909532.0,Palan-Warrior,Nagpur,Maharashtra,India,False,4.4,7,154,1,ISO certified|CE certified,2026-03-13T15:52:11.426087,synthetic
PROD-0073,Standard CNC Machine,Industrial Machinery,CNC Machine,317661.0,"Dewan, Saran and Dugar",Ludhiana,Punjab,India,True,3.8,31,90,3,custom size|BIS approved,2026-03-13T15:52:11.426138,synthetic
PROD-0074,Standard Hydraulic Press,Industrial Machinery,Hydraulic Press,496175.0,"Boase, Bala and Barad",Kolkata,West Bengal,India,True,3.5,31,227,12,custom size|organic,2026-03-13T15:52:11.426186,synthetic
PROD-0075,Heavy Duty Lathe Machine,Industrial Machinery,Lathe Machine,808739.0,Dugar-Ghosh,Nagpur,Maharashtra,India,True,3.8,19,293,12,custom size|organic,2026-03-13T15:52:11.426229,synthetic
PROD-0076,Premium Compressor,Industrial Machinery,Compressor,432872.0,Narasimhan-Behl,Rajkot,Gujarat,India,False,4.5,41,411,12,premium|GMP certified,2026-03-13T15:52:11.426271,synthetic
PROD-0077,Standard Welding Equipment,Industrial Machinery,Welding Equipment,123271.0,Buch-Ranganathan,Ahmedabad,Gujarat,India,False,4.8,31,226,2,custom size|CE certified,2026-03-13T15:52:11.426320,synthetic
PROD-0078,Export Grade Hydraulic Press,Industrial Machinery,Hydraulic Press,225112.0,"Varughese, Lall and Khosla",Rajkot,Gujarat,India,True,3.3,345,272,17,organic|heavy duty,2026-03-13T15:52:11.426373,synthetic
PROD-0079,Heavy Duty Lathe Machine,Industrial Machinery,Lathe Machine,1242209.0,Tak-Malhotra,Surat,Gujarat,India,False,3.9,3,346,13,RoHS compliant|high grade,2026-03-13T15:52:11.426411,synthetic
PROD-0080,Heavy Duty CNC Machine,Industrial Machinery,CNC Machine,548216.0,Bora LLC,Pune,Maharashtra,India,True,4.6,121,469,20,premium|GMP certified,2026-03-13T15:52:11.426453,synthetic
PROD-0081,Export Grade Power Supply,Electronics,Power Supply,19374.0,Choudhury-Ramesh,Delhi,Delhi,India,True,3.1,7,276,5,BIS approved|eco friendly,2026-03-13T15:52:11.426499,synthetic
PROD-0082,Standard Control Panel,Electronics,Control Panel,5630.0,Ramachandran Ltd,Pune,Maharashtra,India,False,4.3,119,481,9,ISO certified|food grade,2026-03-13T15:52:11.426537,synthetic
PROD-0083,Heavy Duty LED Light,Electronics,LED Light,1799.0,"Kapur, Trivedi and Buch",Pune,Maharashtra,India,True,4.4,1250,184,2,BIS approved|organic,2026-03-13T15:52:11.426583,synthetic
PROD-0084,Premium PCB Board,Electronics,PCB Board,4252.0,Karan PLC,Ahmedabad,Gujarat,India,True,3.7,26,417,8,CE certified|heavy duty,2026-03-13T15:52:11.426629,synthetic
PROD-0085,Heavy Duty Control Panel,Electronics,Control Panel,4944.0,"Doshi, Prashad and Vohra",Ludhiana,Punjab,India,False,3.2,47,184,8,custom size|CE certified,2026-03-13T15:52:11.426681,synthetic
PROD-0086,Export Grade LED Light,Electronics,LED Light,5989.0,Garde-Toor,Mumbai,Maharashtra,India,True,4.5,16,263,19,export quality|eco friendly,2026-03-13T15:52:11.426724,synthetic
PROD-0087,Premium LED Light,Electronics,LED Light,9144.0,Om Group,Coimbatore,Tamil Nadu,India,True,4.0,10,252,23,eco friendly|export quality,2026-03-13T15:52:11.426753,synthetic
PROD-0088,Standard PCB Board,Electronics,PCB Board,6502.0,"Mukherjee, Chand and Khare",Nashik,Maharashtra,India,True,4.3,23,306,17,organic|eco friendly,2026-03-13T15:52:11.426785,synthetic
PROD-0089,Premium Control Panel,Electronics,Control Panel,5451.0,"Parmer, Singh and Dubey",Coimbatore,Tamil Nadu,India,False,4.3,145,111,14,eco friendly|premium,2026-03-13T15:52:11.426814,synthetic
PROD-0090,Premium Sensor,Electronics,Sensor,18285.0,"Mammen, Mannan and Chaudry",Jaipur,Rajasthan,India,True,3.6,41,47,3,export quality|BIS approved,2026-03-13T15:52:11.426852,synthetic
PROD-0091,Heavy Duty Sensor,Electronics,Sensor,22720.0,Chhabra Ltd,Delhi,Delhi,India,False,3.8,3,27,10,custom size|organic,2026-03-13T15:52:11.426879,synthetic
PROD-0092,Export Grade PCB Board,Electronics,PCB Board,9920.0,Radhakrishnan-Chaudhuri,Pune,Maharashtra,India,True,3.2,61,391,9,custom size|premium,2026-03-13T15:52:11.426904,synthetic
PROD-0093,Premium Power Supply,Electronics,Power Supply,26834.0,"Handa, Mitra and Sule",Ludhiana,Punjab,India,True,4.3,30,140,23,RoHS compliant|organic,2026-03-13T15:52:11.426935,synthetic
PROD-0094,Standard Sensor,Electronics,Sensor,6746.0,Gaba-Radhakrishnan,Nashik,Maharashtra,India,True,3.8,2,16,3,food grade|high grade,2026-03-13T15:52:11.426976,synthetic
PROD-0095,Heavy Duty Power Supply,Electronics,Power Supply,7329.0,"Karnik, Desai and Kale",Ahmedabad,Gujarat,India,True,3.6,190,453,2,heavy duty|RoHS compliant,2026-03-13T15:52:11.427020,synthetic
PROD-0096,Export Grade Control Panel,Electronics,Control Panel,7562.0,Muni-Pillai,Ludhiana,Punjab,India,True,3.4,20,57,10,GMP certified|RoHS compliant,2026-03-13T15:52:11.427078,synthetic
PROD-0097,Standard Power Supply,Electronics,Power Supply,9136.0,Saha Group,Kolkata,West Bengal,India,True,4.2,10,131,10,CE certified|export quality,2026-03-13T15:52:11.427117,synthetic
PROD-0098,Export Grade Power Supply,Electronics,Power Supply,13066.0,Wadhwa PLC,Mumbai,Maharashtra,India,True,3.5,28,182,3,BIS approved|food grade,2026-03-13T15:52:11.427143,synthetic
PROD-0099,Export Grade Power Supply,Electronics,Power Supply,27943.0,"Kara, Pillay and Anand",Mumbai,Maharashtra,India,False,3.8,3,317,15,food grade|CE certified,2026-03-13T15:52:11.427175,synthetic
PROD-0100,Export Grade Power Supply,Electronics,Power Supply,16176.0,"Baria, Nagy and Mittal",Delhi,Delhi,India,True,3.8,11,171,25,heavy duty|export quality,2026-03-13T15:52:11.427204,synthetic
PROD-0101,Heavy Duty PCB Board,Electronics,PCB Board,9123.0,Thakur and Sons,Coimbatore,Tamil Nadu,India,True,4.9,28,53,5,organic|premium,2026-03-13T15:52:11.427236,synthetic
PROD-0102,Export Grade Control Panel,Electronics,Control Panel,12017.0,Dass-Swaminathan,Bangalore,Karnataka,India,False,4.8,10,241,15,GMP certified|organic,2026-03-13T15:52:11.427264,synthetic
PROD-0103,Premium Sensor,Electronics,Sensor,10510.0,"Karpe, Dhar and Wadhwa",Ludhiana,Punjab,India,True,3.9,134,260,13,eco friendly|custom size,2026-03-13T15:52:11.427297,synthetic
PROD-0104,Standard PCB Board,Electronics,PCB Board,6026.0,Jha-Chada,Coimbatore,Tamil Nadu,India,True,4.0,6,259,21,heavy duty|ISO certified,2026-03-13T15:52:11.427323,synthetic
PROD-0105,Heavy Duty Power Supply,Electronics,Power Supply,10975.0,"Kurian, Lad and Mukhopadhyay",Ahmedabad,Gujarat,India,True,4.5,29,324,21,CE certified|export quality,2026-03-13T15:52:11.427353,synthetic
PROD-0106,Heavy Duty PCB Board,Electronics,PCB Board,9859.0,Iyer LLC,Pune,Maharashtra,India,False,4.3,8,73,12,organic|GMP certified,2026-03-13T15:52:11.427378,synthetic
PROD-0107,Premium Power Supply,Electronics,Power Supply,1507.0,"Dhingra, Wason and Chaudhari",Rajkot,Gujarat,India,True,3.8,155,379,22,high grade|export quality,2026-03-13T15:52:11.427409,synthetic
PROD-0108,Heavy Duty Power Supply,Electronics,Power Supply,8764.0,Suresh-Dugar,Nagpur,Maharashtra,India,True,3.4,120,116,5,heavy duty|export quality,2026-03-13T15:52:11.427434,synthetic
PROD-0109,Premium PCB Board,Electronics,PCB Board,8861.0,Viswanathan PLC,Surat,Gujarat,India,False,4.8,36,79,6,heavy duty|food grade,2026-03-13T15:52:11.427460,synthetic
PROD-0110,Export Grade Control Panel,Electronics,Control Panel,14397.0,"Kurian, Sheth and Issac",Ludhiana,Punjab,India,True,3.7,50,402,15,premium|high grade,2026-03-13T15:52:11.427489,synthetic
PROD-0111,Export Grade Sensor,Electronics,Sensor,17230.0,Dewan-Wable,Ahmedabad,Gujarat,India,True,3.6,12,495,6,premium|custom size,2026-03-13T15:52:11.427515,synthetic
PROD-0112,Heavy Duty Sensor,Electronics,Sensor,2652.0,Dugar-Kibe,Bangalore,Karnataka,India,True,3.2,3,140,15,high grade|heavy duty,2026-03-13T15:52:11.427541,synthetic
PROD-0113,Export Grade Power Supply,Electronics,Power Supply,23771.0,Grewal-Mall,Indore,Madhya Pradesh,India,True,3.5,102,15,11,export quality|food grade,2026-03-13T15:52:11.427566,synthetic
PROD-0114,Heavy Duty Sensor,Electronics,Sensor,13769.0,Mukhopadhyay and Sons,Nagpur,Maharashtra,India,False,3.9,339,241,15,custom size|ISO certified,2026-03-13T15:52:11.427592,synthetic
PROD-0115,Heavy Duty PCB Board,Electronics,PCB Board,11222.0,Sidhu Ltd,Nashik,Maharashtra,India,True,3.2,4,319,15,export quality|RoHS compliant,2026-03-13T15:52:11.427619,synthetic
PROD-0116,Standard Power Supply,Electronics,Power Supply,9912.0,Sabharwal Ltd,Indore,Madhya Pradesh,India,False,3.6,24,343,3,high grade|CE certified,2026-03-13T15:52:11.427645,synthetic
PROD-0117,Premium Control Panel,Electronics,Control Panel,11496.0,Chakrabarti Inc,Delhi,Delhi,India,True,3.9,49,376,22,GMP certified|export quality,2026-03-13T15:52:11.427675,synthetic
PROD-0118,Premium Control Panel,Electronics,Control Panel,14046.0,Vala Group,Ludhiana,Punjab,India,True,3.7,113,351,15,food grade|eco friendly,2026-03-13T15:52:11.427722,synthetic
PROD-0119,Heavy Duty LED Light,Electronics,LED Light,17421.0,"Kanda, Setty and Bora",Nagpur,Maharashtra,India,True,4.6,64,159,17,BIS approved|high grade,2026-03-13T15:52:11.427759,synthetic
PROD-0120,Premium Sensor,Electronics,Sensor,1030.0,"Raval, Mittal and Bhalla",Lucknow,Uttar Pradesh,India,False,3.7,5,456,13,food grade|eco friendly,2026-03-13T15:52:11.427790,synthetic
PROD-0121,Export Grade Power Supply,Electronics,Power Supply,6600.0,Warrior PLC,Nashik,Maharashtra,India,True,4.6,11,218,3,BIS approved|custom size,2026-03-13T15:52:11.427828,synthetic
PROD-0122,Premium LED Light,Electronics,LED Light,9494.0,"Gade, Ganesh and Raman",Indore,Madhya Pradesh,India,True,3.6,13,86,23,eco friendly|CE certified,2026-03-13T15:52:11.427884,synthetic
PROD-0123,Premium PCB Board,Electronics,PCB Board,11447.0,Anand-Master,Lucknow,Uttar Pradesh,India,True,4.3,4,348,6,ISO certified|heavy duty,2026-03-13T15:52:11.427924,synthetic
PROD-0124,Standard Control Panel,Electronics,Control Panel,13380.0,Bajaj LLC,Indore,Madhya Pradesh,India,True,4.6,12,291,2,custom size|heavy duty,2026-03-13T15:52:11.427968,synthetic
PROD-0125,Premium Power Supply,Electronics,Power Supply,23095.0,"Mall, Dixit and Sur",Nagpur,Maharashtra,India,True,4.1,11,128,4,ISO certified|food grade,2026-03-13T15:52:11.428000,synthetic
PROD-0126,Premium Power Supply,Electronics,Power Supply,11478.0,Nagy-Deshpande,Bangalore,Karnataka,India,True,3.5,19,437,3,eco friendly|heavy duty,2026-03-13T15:52:11.428027,synthetic
PROD-0127,Heavy Duty Power Supply,Electronics,Power Supply,19140.0,Minhas LLC,Nashik,Maharashtra,India,False,4.7,79,261,8,export quality|premium,2026-03-13T15:52:11.428084,synthetic
PROD-0128,Heavy Duty LED Light,Electronics,LED Light,4240.0,Thakur-Wali,Ludhiana,Punjab,India,True,3.7,80,314,3,export quality|organic,2026-03-13T15:52:11.428130,synthetic
PROD-0129,Premium Power Supply,Electronics,Power Supply,10090.0,Baria-Prabhakar,Jaipur,Rajasthan,India,True,3.6,3,265,12,heavy duty|high grade,2026-03-13T15:52:11.428162,synthetic
